Metric,Comparison_Type,Group1,Group2,k,n,Mean1,Mean2,Grand_Mean,Group1_Deviation,Group2_Deviation,Mean_Diff,Group1_SSA,Group2_SSA,MSE_pooled,SE,Q_stat,Q_crit,p_value,Cohens_d,Significant,Lower_CI,Upper_CI
difficulty_0,Pairwise,Male,Female,4,[ 5  6 19  4],3.4,2.5,2.911764705882353,0.4882352941176471,-0.4117647058823528,0.8999999999999999,1.1918685121107269,1.0173010380622831,0.7325438596491228,0.5182657766095292,2.4660793012604794,3.8454013530425217,0.31973031315284184,1.051539747236955,False,-0.5092213309464384,2.309221330946438
difficulty_0,Pairwise,Male,Male,4,[ 5  6 19  4],3.4,2.8421052631578947,2.911764705882353,0.4882352941176471,-0.06965944272445812,0.5578947368421052,1.1918685121107269,0.09219632125295917,0.7325438596491228,0.4301903205691143,2.258011092977887,3.8454013530425217,0.39570254810579175,0.651831656181972,False,-0.6118397960429967,1.727629269727207
difficulty_0,Pairwise,Male,Female,4,[ 5  6 19  4],3.4,3.25,2.911764705882353,0.4882352941176471,0.3382352941176472,0.1499999999999999,1.1918685121107269,0.4576124567474052,0.7325438596491228,0.5741469644978585,0.37177544297921933,3.8454013530425217,0.9935002823513549,0.1752566245394924,False,-1.4111683927146907,1.7111683927146906
difficulty_0,Pairwise,Female,Male,4,[ 5  6 19  4],2.5,2.8421052631578947,2.911764705882353,-0.4117647058823528,-0.06965944272445812,-0.3421052631578947,1.0173010380622831,0.09219632125295917,0.7325438596491228,0.40080616668956903,1.413181508400542,3.8454013530425217,0.750950056538286,-0.39970809105498284,False,-1.431941067807916,0.7477305414921267
difficulty_0,Pairwise,Female,Female,4,[ 5  6 19  4],2.5,3.25,2.911764705882353,-0.4117647058823528,0.3382352941176472,-0.75,1.0173010380622831,0.4576124567474052,0.7325438596491228,0.5524731741787419,1.9594286298873151,3.8454013530425217,0.5178769078195392,-0.8762831226974626,False,-2.2522349863069366,0.7522349863069366
difficulty_0,Pairwise,Male,Female,4,[ 5  6 19  4],2.8421052631578947,3.25,2.911764705882353,-0.06965944272445812,0.3382352941176472,-0.4078947368421053,0.09219632125295917,0.4576124567474052,0.7325438596491228,0.47084063640876783,1.6161445631588318,3.8454013530425217,0.6665077645070254,-0.47657503164247966,False,-1.6881619245471093,0.8723724508628987
difficulty_0,vs_Pooled,Male,Pooled,4,[ 5  6 19  4],3.4,2.911764705882353,2.911764705882353,0.4882352941176471,0.0,0.4882352941176471,1.1918685121107269,0.0,0.7325438596491228,0.3827646429985724,1.2755496178874288,2.0422724563012373,0.2119037421312242,0.5704431308540344,False,-0.2934743935243135,1.2699449817596076
difficulty_0,vs_Pooled,Female,Pooled,4,[ 5  6 19  4],2.5,2.911764705882353,2.911764705882353,-0.4117647058823528,0.0,-0.4117647058823528,1.0173010380622831,0.0,0.7325438596491228,0.3494147153095499,-1.1784412271176572,2.0422724563012373,0.24788380848644564,-0.48109661638292045,False,-1.1253647547853847,0.30183534302067916
difficulty_0,vs_Pooled,Male,Pooled,4,[ 5  6 19  4],2.8421052631578947,2.911764705882353,2.911764705882353,-0.06965944272445812,0.0,-0.06965944272445812,0.09219632125295917,0.0,0.7325438596491228,0.1963541188300688,-0.3547643570682805,2.0422724563012373,0.7252480066440117,-0.0813885253279376,False,-0.4706680512924078,0.33134916584349156
difficulty_0,vs_Pooled,Female,Pooled,4,[ 5  6 19  4],3.25,2.911764705882353,2.911764705882353,0.3382352941176472,0.0,0.3382352941176472,0.4576124567474052,0.0,0.7325438596491228,0.4279438805641234,0.7903730126290841,2.0422724563012373,0.4355135910765531,0.39518650631454205,False,-0.5357427060011285,1.212213294236423
difficulty_1,Pairwise,Male,Female,4,[ 5  6 19  4],2.8,2.1666666666666665,2.411764705882353,0.388235294117647,-0.2450980392156863,0.6333333333333333,0.7536332179930794,0.36043829296424457,0.9180409356725145,0.5801853236221929,1.5501819206161347,3.8454013530425217,0.694564373844227,0.6609997919137518,False,-0.9442540182746013,2.210920684941268
difficulty_1,Pairwise,Male,Male,4,[ 5  6 19  4],2.8,2.210526315789474,2.411764705882353,0.388235294117647,-0.20123839009287892,0.5894736842105259,0.7536332179930794,0.7694409032963004,0.9180409356725145,0.4815870960867482,2.131199086194219,3.8454013530425217,0.44603334676112527,0.6152241830554585,False,-0.7200143027327337,1.8989616711537856
