Column,Group,Subgroup,N,Mean,SAMPLE,POPULATION,STD,MSE,SS,TUKEY,SST,SSE,SSA,ALT_SSA,ALT_FTEST
difficulty_0,Male,Group_1,24,2.9583333333333335,0.7373188405797101,0.7065972222222222,0.858672720295521,0.7065972222222222,16.958333333333332,0.03072161835748792,17.01038062283737,16.958333333333332,0.05204728950403753,0.05204728950403753,0.00026688066405232365
difficulty_0,Female,Group_2,10,2.8,0.8444444444444444,0.76,0.9189365834726815,0.76,7.6,0.08444444444444445,7.724913494809689,7.6,0.12491349480968869,0.12491349480968869,0.003652441368704348
difficulty_0,Overall,all,34,2.911764705882353,0.749554367201426,0.7275086505190311,0.8657680793384716,0.7275086505190311,24.735294117647058,0.022045716682394884,24.735294117647058,24.735294117647058,0.0,0.0,0.0
difficulty_1,Male,Group_1,24,2.3333333333333335,1.0144927536231882,0.9722222222222222,1.0072203103706696,0.9722222222222222,23.333333333333332,0.04227053140096618,23.48096885813149,23.333333333333332,0.1476355247981535,0.1476355247981535,0.0005501945023533672
difficulty_1,Female,Group_2,10,2.6,0.9333333333333333,0.8400000000000001,0.9660917830792959,0.8400000000000001,8.4,0.09333333333333334,8.754325259515571,8.4,0.3543252595155717,0.3543252595155717,0.009373684114168562
difficulty_1,Overall,all,34,2.411764705882353,0.9768270944741533,0.9480968858131488,0.9883456351267775,0.9480968858131488,32.23529411764706,0.028730208661004508,32.23529411764706,32.23529411764706,0.0,0.0,0.0
difficulty_2,Male,Group_1,24,2.4166666666666665,0.7753623188405798,0.7430555555555557,0.880546602310508,0.7430555555555557,17.833333333333336,0.03230676328502416,18.0,17.833333333333336,0.16666666666666727,0.16666666666666727,0.000812677773262904
difficulty_2,Female,Group_2,10,2.7,0.8999999999999999,0.8099999999999999,0.9486832980505138,0.8099999999999999,8.1,0.09,8.5,8.1,0.4000000000000007,0.4000000000000007,0.010973936899862846
difficulty_2,Overall,all,34,2.5,0.803030303030303,0.7794117647058824,0.8961195807649239,0.7794117647058824,26.5,0.023618538324420676,26.5,26.5,0.0,0.0,0.0
difficulty_3,Male,Group_1,24,2.3333333333333335,1.3623188405797102,1.3055555555555556,1.1671841502435296,1.3055555555555556,31.333333333333332,0.05676328502415459,31.34256055363322,31.333333333333332,0.009227220299884594,0.009227220299884594,2.560745689144661e-05
difficulty_3,Female,Group_2,10,2.4,0.48888888888888893,0.44000000000000006,0.6992058987801011,0.44000000000000006,4.4,0.04888888888888889,4.422145328719724,4.4,0.022145328719723023,0.022145328719723023,0.0011184509454405568
difficulty_3,Overall,all,34,2.3529411764705883,1.0837789661319073,1.0519031141868513,1.0410470527944005,1.0519031141868513,35.76470588235294,0.0318758519450561,35.76470588235294,35.76470588235294,0.0,0.0,0.0
difficulty_4,Male,Group_1,24,2.4583333333333335,1.1286231884057971,1.0815972222222223,1.062366786192884,1.0815972222222223,25.958333333333336,0.04702596618357488,26.0,25.958333333333336,0.04166666666666637,0.04166666666666637,0.00013957708144322602
difficulty_4,Female,Group_2,10,2.6,0.48888888888888893,0.44000000000000006,0.6992058987801011,0.44000000000000006,4.4,0.04888888888888889,4.5,4.4,0.10000000000000017,0.10000000000000017,0.005050505050505059
difficulty_4,Overall,all,34,2.5,0.9242424242424242,0.8970588235294118,0.9613752775282003,0.8970588235294118,30.5,0.027183600713012478,30.5,30.5,0.0,0.0,0.0
ALL,Male,Group_1,24,2.9583333333333335,0.7373188405797101,0.7065972222222222,0.858672720295521,0.7065972222222222,16.958333333333332,0.03072161835748792,21.253425605536336,16.958333333333332,4.2950922722030045,4.2950922722030045,0.01223542291693339
ALL,Male,Group_1,24,2.3333333333333335,1.0144927536231882,0.9722222222222222,1.0072203103706696,0.9722222222222222,23.333333333333332,0.04227053140096618,24.312249134948097,23.333333333333332,0.978915801614761,0.978915801614761,0.002026740790092673
ALL,Male,Group_1,24,2.4166666666666665,0.7753623188405798,0.7430555555555557,0.880546602310508,0.7430555555555557,17.833333333333336,0.03230676328502416,18.17107266435986,17.833333333333336,0.33773933102652837,0.33773933102652837,0.0009149108249398031
ALL,Male,Group_1,24,2.3333333333333335,1.3623188405797102,1.3055555555555556,1.1671841502435296,1.3055555555555556,31.333333333333332,0.05676328502415459,32.31224913494809,31.333333333333332,0.978915801614761,0.978915801614761,0.0015092750564519905
ALL,Male,Group_1,24,2.4583333333333335,1.1286231884057971,1.0815972222222223,1.062366786192884,1.0815972222222223,25.958333333333336,0.04702596618357488,26.10048442906574,25.958333333333336,0.14215109573240958,0.14215109573240958,0.00026454713421715325
ALL,Female,Group_2,10,2.8,0.8444444444444444,0.76,0.9189365834726815,0.76,7.6,0.08444444444444445,8.300692041522492,7.6,0.7006920415224911,0.7006920415224911,0.011382261883081403
ALL,Female,Group_2,10,2.6,0.9333333333333333,0.8400000000000001,0.9660917830792959,0.8400000000000001,8.4,0.09333333333333334,8.441868512110727,8.4,0.041868512110726924,0.041868512110726924,0.0006153514419565979
ALL,Female,Group_2,10,2.7,0.8999999999999999,0.8099999999999999,0.9486832980505138,0.8099999999999999,8.1,0.09,8.37128027681661,8.1,0.27128027681661,0.27128027681661,0.004134739777726109
ALL,Female,Group_2,10,2.4,0.48888888888888893,0.44000000000000006,0.6992058987801011,0.44000000000000006,4.4,0.04888888888888889,4.583044982698961,4.4,0.18304498269896186,0.18304498269896186,0.00513594227550398
ALL,Female,Group_2,10,2.6,0.48888888888888893,0.44000000000000006,0.6992058987801011,0.44000000000000006,4.4,0.04888888888888889,4.441868512110727,4.4,0.041868512110726924,0.041868512110726924,0.0011747618437353232
ALL,Overall,all,170,2.5352941176470587,0.9247824573616429,0.9193425605536332,0.9616561014009337,0.9193425605536332,156.28823529411764,0.005439896808009664,156.28823529411764,156.28823529411764,0.0,0.0,0.0
